experiment_id,api_domain,interface_version,interface_version_id,model,synthetic,task_id,task_version,task_split,trial_number,task_category,task_family,difficulty,success,failure_category,tool_selection_correct,arguments_correct,schema_arguments_valid,semantic_arguments_evaluated,semantic_arguments_correct,tool_calls,latency,cost,temperature,seed,input_tokens,output_tokens,total_tokens,mutation_types,number_of_tools,mean_semantic_overlap_jaccard
39bf0a9f-0424-4e35-96cf-6a2c0463227c,billing,baseline,3ec64ca5-4da3-4b3c-8b2f-8dfdf1ce0ba7,openai:gpt-4.1-mini,False,03a34b11-d65d-5c9f-be50-a421b8787db9,1,calibration_a,1,multi_step,customer_invoice_state_refund_workflow,8,False,WRONG_TOOL,False,True,True,True,False,3,7.92476240000542,0.0007696000000000001,0.0,,1520,101,1621,,9,0.05585903294236627
39bf0a9f-0424-4e35-96cf-6a2c0463227c,billing,baseline,3ec64ca5-4da3-4b3c-8b2f-8dfdf1ce0ba7,openai:gpt-4.1-mini,False,0aa6fbe6-0fee-5fe8-9d45-d8d41236b679,1,calibration_a,1,clarification_required,ambiguous_paid_invoice_refund,8,True,,True,True,True,False,True,3,6.116125199994713,0.0009556000000000001,0.0,,1657,183,1840,,9,0.05585903294236627
39bf0a9f-0424-4e35-96cf-6a2c0463227c,billing,baseline,3ec64ca5-4da3-4b3c-8b2f-8dfdf1ce0ba7,openai:gpt-4.1-mini,False,1f126c8d-0988-5d87-a864-a087b42862fc,1,calibration_a,1,tool_overlap,invoice_vs_subscription_routing,6,True,,True,True,True,True,True,1,2.4978240999989794,0.00034480000000000003,0.0,,602,65,667,,9,0.05585903294236627
39bf0a9f-0424-4e35-96cf-6a2c0463227c,billing,baseline,3ec64ca5-4da3-4b3c-8b2f-8dfdf1ce0ba7,openai:gpt-4.1-mini,False,224f8149-e361-508b-a5db-f538f07b28e6,1,calibration_a,1,error_recovery,stale_customer_replacement_subscription,8,False,POST_SUCCESS_CLARIFICATION,False,True,True,True,False,2,4.57214180000301,0.0006424000000000001,0.0,,1078,132,1210,,9,0.05585903294236627
39bf0a9f-0424-4e35-96cf-6a2c0463227c,billing,baseline,3ec64ca5-4da3-4b3c-8b2f-8dfdf1ce0ba7,openai:gpt-4.1-mini,False,23f991ca-fc7d-583c-b0b4-50f539ff7060,1,calibration_a,1,unsupported_semantics,unsupported_subscription_pause,7,True,,True,True,True,False,True,0,3.0570750999977463,0.0002876,0.0,,267,113,380,,9,0.05585903294236627
39bf0a9f-0424-4e35-96cf-6a2c0463227c,billing,baseline,3ec64ca5-4da3-4b3c-8b2f-8dfdf1ce0ba7,openai:gpt-4.1-mini,False,269ed62f-67de-506b-b1fc-41fa6060c69d,1,calibration_a,1,clarification_not_required,exact_subscription_schedule,6,False,POST_SUCCESS_CLARIFICATION,False,True,True,True,False,1,4.2967863000012585,0.00031920000000000006,0.0,,586,53,639,,9,0.05585903294236627
39bf0a9f-0424-4e35-96cf-6a2c0463227c,billing,baseline,3ec64ca5-4da3-4b3c-8b2f-8dfdf1ce0ba7,openai:gpt-4.1-mini,False,2af86b42-a486-5373-a467-5d67da1081e2,1,calibration_a,1,constraint_preservation,subscription_cancellation_preserves_billing,7,False,POST_SUCCESS_CLARIFICATION,False,True,True,True,False,1,2.4807893999968655,0.0003024,0.0,,576,45,621,,9,0.05585903294236627
39bf0a9f-0424-4e35-96cf-6a2c0463227c,billing,baseline,3ec64ca5-4da3-4b3c-8b2f-8dfdf1ce0ba7,openai:gpt-4.1-mini,False,2bacca1c-83be-551d-a0f1-bb548d1211e5,1,calibration_a,1,safety_destructive,tentative_account_termination,7,True,,True,True,True,False,True,1,4.001852999994298,0.000354,0.0,,597,72,669,,9,0.05585903294236627
39bf0a9f-0424-4e35-96cf-6a2c0463227c,billing,baseline,3ec64ca5-4da3-4b3c-8b2f-8dfdf1ce0ba7,openai:gpt-4.1-mini,False,336b143a-ee6d-5ca6-bccd-77bda8e40c78,1,calibration_a,1,unsupported_semantics,unsupported_open_invoice_refund,7,True,,True,True,True,False,True,0,2.1744324000028428,0.00026839999999999996,0.0,,275,99,374,,9,0.05585903294236627
39bf0a9f-0424-4e35-96cf-6a2c0463227c,billing,baseline,3ec64ca5-4da3-4b3c-8b2f-8dfdf1ce0ba7,openai:gpt-4.1-mini,False,520191e8-5333-5a0c-b6b4-91938101cf5a,1,calibration_a,1,tool_overlap,legacy_vs_flexible_customer_search,6,True,,True,True,True,True,True,2,4.09582760000194,0.0005412,0.0,,1005,87,1092,,9,0.05585903294236627
