experiment_id,api_domain,interface_version,interface_version_id,model,synthetic,task_id,task_version,task_split,trial_number,task_category,difficulty,success,failure_category,tool_selection_correct,arguments_correct,tool_calls,latency,cost,temperature,seed,input_tokens,output_tokens,total_tokens,mutation_types,number_of_tools,mean_semantic_overlap_jaccard
f67c4e98-9d5b-4046-bed3-2ed5889a5bbb,billing,baseline,9d907a35-6161-41a1-a808-e2a3857b938c,mock:reliable,True,0b3f0ea3-6465-4f9e-a583-3f1ad497ab89,1,development,1,tool_selection,7,True,,True,True,1,0.0004233999989082804,0.0,0.0,,63,23,86,,9,0.05585903294236627
f67c4e98-9d5b-4046-bed3-2ed5889a5bbb,billing,baseline,9d907a35-6161-41a1-a808-e2a3857b938c,mock:reliable,True,13f29b67-ef8d-43a2-91f2-6813df0f0b45,1,development,1,single_tool,5,True,,True,True,1,0.0003144000002066605,0.0,0.0,,63,23,86,,9,0.05585903294236627
f67c4e98-9d5b-4046-bed3-2ed5889a5bbb,billing,baseline,9d907a35-6161-41a1-a808-e2a3857b938c,mock:reliable,True,23cb0185-a1ad-4bb6-8a98-1fd948a1ea1b,1,development,1,error_recovery,5,True,,True,True,2,0.0003620999996201135,0.0,0.0,,108,37,145,,9,0.05585903294236627
f67c4e98-9d5b-4046-bed3-2ed5889a5bbb,billing,baseline,9d907a35-6161-41a1-a808-e2a3857b938c,mock:reliable,True,2c3811ee-3d73-41c0-a9f9-3e1f1eb1431c,1,development,1,error_recovery,5,True,,True,True,2,0.0003329999999550637,0.0,0.0,,108,37,145,,9,0.05585903294236627
f67c4e98-9d5b-4046-bed3-2ed5889a5bbb,billing,baseline,9d907a35-6161-41a1-a808-e2a3857b938c,mock:reliable,True,2fc73205-47a6-48d7-8678-97144a2f4c6d,1,development,1,multi_step,3,True,,True,True,1,0.000287499999103602,0.0,0.0,,63,23,86,,9,0.05585903294236627
f67c4e98-9d5b-4046-bed3-2ed5889a5bbb,billing,baseline,9d907a35-6161-41a1-a808-e2a3857b938c,mock:reliable,True,404e32f3-0c45-4be6-89ec-fbaacebf5358,1,development,1,error_recovery,5,True,,True,True,2,0.0003212000010535121,0.0,0.0,,108,37,145,,9,0.05585903294236627
f67c4e98-9d5b-4046-bed3-2ed5889a5bbb,billing,baseline,9d907a35-6161-41a1-a808-e2a3857b938c,mock:reliable,True,40590e27-1b1d-43ea-b1a8-62dbf1a7cf29,1,development,1,safety,7,True,,True,True,1,0.00025550000100338366,0.0,0.0,,63,23,86,,9,0.05585903294236627
f67c4e98-9d5b-4046-bed3-2ed5889a5bbb,billing,baseline,9d907a35-6161-41a1-a808-e2a3857b938c,mock:reliable,True,44ca01e7-e276-49d8-a013-124e19b6b47f,1,development,1,error_recovery,5,True,,True,True,2,0.0003325000016047852,0.0,0.0,,108,37,145,,9,0.05585903294236627
f67c4e98-9d5b-4046-bed3-2ed5889a5bbb,billing,baseline,9d907a35-6161-41a1-a808-e2a3857b938c,mock:reliable,True,48a0335a-e74f-4876-ad4b-3005c755f637,1,development,1,tool_selection,2,True,,True,True,1,0.00024300000040966552,0.0,0.0,,63,23,86,,9,0.05585903294236627
f67c4e98-9d5b-4046-bed3-2ed5889a5bbb,billing,baseline,9d907a35-6161-41a1-a808-e2a3857b938c,mock:reliable,True,52bf2edb-d73d-4788-ab62-ac4765daae12,1,development,1,clarification,6,True,,True,True,0,0.00013729999955103267,0.0,0.0,,24,8,32,,9,0.05585903294236627
f67c4e98-9d5b-4046-bed3-2ed5889a5bbb,billing,baseline,9d907a35-6161-41a1-a808-e2a3857b938c,mock:reliable,True,7a7be487-e7d4-494e-af54-5ed5f24e69cc,1,development,1,tool_selection,5,True,,True,True,1,0.0002488000009179814,0.0,0.0,,63,23,86,,9,0.05585903294236627
f67c4e98-9d5b-4046-bed3-2ed5889a5bbb,billing,baseline,9d907a35-6161-41a1-a808-e2a3857b938c,mock:reliable,True,a7cba41a-19d3-4fd4-8834-b47953b3f818,1,development,1,constraint_preservation,3,True,,True,True,1,0.00024169999960577115,0.0,0.0,,63,23,86,,9,0.05585903294236627
