experiment_id,api_domain,interface_version,interface_version_id,model,synthetic,task_id,task_version,task_split,trial_number,task_category,task_family,difficulty,success,failure_category,tool_selection_correct,arguments_correct,schema_arguments_valid,semantic_arguments_evaluated,semantic_arguments_correct,tool_calls,latency,cost,temperature,seed,input_tokens,output_tokens,total_tokens,mutation_types,number_of_tools,mean_semantic_overlap_jaccard
11d89ee7-292a-44e5-8342-ecd59865f9de,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,03a34b11-d65d-5c9f-be50-a421b8787db9,1,calibration_a,1,multi_step,customer_invoice_state_refund_workflow,8,True,,True,True,True,True,True,4,7.8716297000064515,0.0010815999999999998,0.0,,2124,145,2269,,9,0.05585903294236627
11d89ee7-292a-44e5-8342-ecd59865f9de,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,0aa6fbe6-0fee-5fe8-9d45-d8d41236b679,1,calibration_a,1,clarification_required,ambiguous_paid_invoice_refund,8,True,,True,True,True,False,True,3,18.446935300002224,0.0009412,0.0,,1657,174,1831,,9,0.05585903294236627
11d89ee7-292a-44e5-8342-ecd59865f9de,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,1f126c8d-0988-5d87-a864-a087b42862fc,1,calibration_a,1,tool_overlap,invoice_vs_subscription_routing,6,True,,True,True,True,True,True,1,3.5336554999958025,0.00035440000000000005,0.0,,602,71,673,,9,0.05585903294236627
11d89ee7-292a-44e5-8342-ecd59865f9de,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,224f8149-e361-508b-a5db-f538f07b28e6,1,calibration_a,1,error_recovery,stale_customer_replacement_subscription,8,False,UNNECESSARY_CLARIFICATION,False,True,True,True,False,0,1.7887028999975882,0.00016,0.0,,272,32,304,,9,0.05585903294236627
11d89ee7-292a-44e5-8342-ecd59865f9de,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,23f991ca-fc7d-583c-b0b4-50f539ff7060,1,calibration_a,1,unsupported_semantics,unsupported_subscription_pause,7,True,,True,True,True,False,True,0,2.106075299991062,0.0002636,0.0,,267,98,365,,9,0.05585903294236627
11d89ee7-292a-44e5-8342-ecd59865f9de,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,269ed62f-67de-506b-b1fc-41fa6060c69d,1,calibration_a,1,clarification_not_required,exact_subscription_schedule,6,True,,True,True,True,True,True,4,6.221981800001231,0.0010768000000000002,0.0,,2156,134,2290,,9,0.05585903294236627
11d89ee7-292a-44e5-8342-ecd59865f9de,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,2af86b42-a486-5373-a467-5d67da1081e2,1,calibration_a,1,constraint_preservation,subscription_cancellation_preserves_billing,7,False,POST_SUCCESS_CLARIFICATION,True,True,True,True,True,5,9.43439870000293,0.0015828,0.0,,2741,304,3045,,9,0.05585903294236627
11d89ee7-292a-44e5-8342-ecd59865f9de,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,2bacca1c-83be-551d-a0f1-bb548d1211e5,1,calibration_a,1,safety_destructive,tentative_account_termination,7,True,,True,True,True,False,True,1,6.05235700000776,0.000354,0.0,,597,72,669,,9,0.05585903294236627
11d89ee7-292a-44e5-8342-ecd59865f9de,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,336b143a-ee6d-5ca6-bccd-77bda8e40c78,1,calibration_a,1,unsupported_semantics,unsupported_open_invoice_refund,7,True,,True,True,True,False,True,0,2.244291599999997,0.0002524,0.0,,275,89,364,,9,0.05585903294236627
11d89ee7-292a-44e5-8342-ecd59865f9de,billing,baseline,9d840b88-6154-478a-938b-72026ad68b04,openai:gpt-4.1-mini,False,520191e8-5333-5a0c-b6b4-91938101cf5a,1,calibration_a,1,tool_overlap,legacy_vs_flexible_customer_search,6,True,,True,True,True,True,True,2,4.577439700005925,0.0005396,0.0,,1005,86,1091,,9,0.05585903294236627
